id,companyName,companyWebsite,companyLinkedinUrl
1,cogniBIT,https://cognibit.de/,https://www.linkedin.com/company/cogni-bit/
2,Testhive,http://www.testhive.io,https://www.linkedin.com/company/testhive/
3,Chapter54,https://chapter54.com/,https://www.linkedin.com/company/chapter54/
4,Ninepointfive,http://ninepointfive.vc,https://www.linkedin.com/company/ninepointfive/
5,cogniBIT,https://cognibit.de/,https://www.linkedin.com/company/cogni-bit/
6,SmartyAds,https://smartyads.com/,https://www.linkedin.com/in/liz-tokareva/
7,SmartyAds,https://smartyads.com/,https://www.linkedin.com/company/smartyads/
8,DecenterAds,http://decenterads.com,https://www.linkedin.com/company/decenterads/
9,SmartHub,https://smart-hub.io/,https://www.linkedin.com/in/roman-v-b0908575/
10,SmartyAds,https://smartyads.com/,https://www.linkedin.com/company/smartyads/
11,SmartyAds,https://smartyads.com/,https://www.linkedin.com/company/smartyads/
12,SmartyAds,https://smartyads.com/,https://www.linkedin.com/company/smartyads/
13,DecenterAds,http://decenterads.com,https://www.linkedin.com/company/decenterads/
14,SmartHub,https://smart-hub.io/,https://www.linkedin.com/company/wlsmarthub/
15,SmartyAds,https://smartyads.com/,https://www.linkedin.com/company/smartyads/
16,Grupo SOMA,http://www.somagrupo.com.br/,https://www.linkedin.com/company/grupo-soma/
17,LiveSen,http://www.livesen.de,https://www.linkedin.com/company/livesen/
18,Pontifícia Universidade Católica do Rio de Janeiro,http://www.puc-rio.br/,https://www.linkedin.com/in/lucia-sousa-869977136/
19,Grupo SOMA,http://www.somagrupo.com.br/,https://www.linkedin.com/company/grupo-soma/
20,LiveSen,http://www.livesen.de,https://www.linkedin.com/company/livesen/
21,NielsenIQ,https://nielseniq.com/,https://www.linkedin.com/in/mariannaekel/
22,42DM ,http://www.42dm.net,https://www.linkedin.com/company/42dm/
23,empty,empty,https://www.linkedin.com/in/alena-dalskaya/
24,42DM ,http://www.42dm.net,https://www.linkedin.com/company/42dm/
25,42DM ,http://www.42dm.net,https://www.linkedin.com/company/42dm/
26,NielsenIQ,https://nielseniq.com/,https://www.linkedin.com/company/nielseniq/
27,42DM ,http://www.42dm.net,https://www.linkedin.com/company/42dm/
28,empty,empty,https://www.linkedin.com/in/alena-dalskaya/
29,42DM ,http://www.42dm.net,https://www.linkedin.com/company/42dm/
30,empty,empty,https://www.linkedin.com/in/elena-vladyka-45ba0a22a/
31,Contentstack,https://www.contentstack.com,https://www.linkedin.com/in/wimvanhoren/
32,Anouk Ellen Susan,http://www.anoukellensusan.com,https://www.linkedin.com/company/anouk-ellen-susan/
33,Anouk Ellen Susan,http://www.anoukellensusan.com,https://www.linkedin.com/company/anouk-ellen-susan/

